ballot,name,party,votes
1,"HALL, Liam",One Nation,1479
2,"STORER, Elizabeth",Animal Justice Party,468
3,"BURDETT, Robert",Australian Christians,477
4,"MATTERS, Jim",Legalise Cannabis Party WA,1119
5,"PAPALIA, Paul",WA Labor,9195
6,"HEYNES, Tamsyn",The Greens,1635
7,"JONES, Mark",Liberal Party,4834
