ballot,name,party,votes
1,"ROBERTSON, Ryan",Liberal Party,10791
2,"BARTON, Matthew",Libertarian,1487
3,"DAVIES, Rhi",The Greens (WA),3868
4,"BUCHANAN, Craig Robert",Legalise Cannabis Party WA,262
5,"HAMILTON, Tim",Shooters Fishers and Farmers,1081
6,"TREE, Georgia",WA Labor,193
7,"HOWARD, Paul",Independent,3488
8,"BURDETT, Robert",Australian Christians,534
9,"JENSEN, Neil",Animal Justice Party,170
